Algorithm,Accel?,Nodes,CPU (s),Std Dev,CV,Memory (MB)
SD,nesterov,16,1.614E-02,1.970E-04,1.221E-02,6.976E-03
SD,none,16,1.543E-02,1.282E-03,8.308E-02,4.416E-03
SD,nesterov,32,1.206E-01,2.456E-04,2.037E-03,2.541E-02
SD,none,32,1.550E-01,5.609E-02,3.620E-01,1.670E-02
SD,nesterov,64,8.958E-01,3.970E-03,4.432E-03,9.899E-02
SD,none,64,1.027E+00,7.968E-02,7.755E-02,6.576E-02
SD,nesterov,128,6.958E+00,7.379E-02,1.060E-02,3.939E-01
SD,none,128,8.014E+00,5.545E-01,6.918E-02,2.624E-01
SD,nesterov,256,5.614E+01,9.102E-01,1.621E-02,1.574E+00
SD,none,256,5.694E+01,5.054E+00,8.876E-02,1.049E+00
SD,nesterov,512,4.385E+02,5.150E+00,1.174E-02,6.292E+00
SD,none,512,5.013E+02,5.873E+01,1.171E-01,4.195E+00
